Month,Temperature_degC,Salinity_psu,Oxygen_percent
1,3.175705645,14.27224462,94.10097446
2,3.840409483,12.70211925,96.80323276
3,9.451865546,13.87805042,92.65183193
4,12.76878472,14.62260417,92.10055556
5,16.40389785,13.87604167,81.44079301
6,23.79114583,20.4025,80.81934028
7,27.51310484,18.6890121,72.2484207
8,27.91646505,18.03195565,70.99778226
9,23.7246875,22.05517361,76.53847222
10,16.95608199,20.29176747,83.80339382
11,10.06916667,21.78024306,93.93385417
12,4.604939516,19.68713038,96.11959005
